DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
4.6,7.87,2136.0,24.0,0.4,540.0,108.0,1316.0,2019-01-01,229.5684761904762
7.3,7.39,435.0,11.0,0.4,125.82,8.0,246.0,2020-01-01,88.79819047619047
7.2,7.18,269.0,9.0,0.4,72.9,3.0,152.0,2020-01-01,72.92552380952382
7.1,7.09,617.0,13.0,0.4,215.18,17.0,362.0,2020-01-01,106.02342857142857
5.1,8.09,487.0,6.0,0.4,210.0,18.0,312.0,2020-01-01,83.87219047619047
5.2,8.12,473.0,10.0,0.4,170.0,24.0,298.0,2020-01-01,88.43066666666668
1.8,11.47,1120.0,11.0,0.4,325.0,92.0,760.0,2020-01-01,137.9709523809524
5.2,8.22,464.0,10.0,0.4,175.0,20.0,302.0,2020-01-01,88.44647619047619
5.0,8.05,496.0,12.0,0.4,205.0,20.0,312.0,2020-01-01,93.35933333333334
5.4,8.04,498.0,8.0,0.4,175.0,17.0,324.0,2020-01-01,87.56961904761906
4.2,7.98,589.0,10.0,0.4,250.0,23.0,372.0,2020-01-01,95.41266666666668
5.8,8.15,362.0,10.0,0.4,145.0,16.0,232.0,2020-01-01,82.07647619047621
5.8,8.02,344.0,10.0,0.4,135.0,16.0,202.0,2020-01-01,79.49885714285716
5.4,7.18,398.0,18.0,0.4,150.0,20.0,232.0,2020-01-01,93.78552380952382
5.2,7.48,390.0,8.0,0.4,145.0,22.0,242.0,2020-01-01,77.83695238095238
5.0,7.8,438.0,10.0,0.4,160.0,26.0,272.0,2020-01-01,84.71314285714287
5.0,7.32,398.0,7.0,0.4,150.0,22.0,246.0,2020-01-01,76.04419047619048
6.2,7.64,103.0,4.0,0.4,35.0,5.0,66.0,2020-01-01,51.99038095238095
5.6,7.63,320.0,6.0,0.4,120.0,20.0,210.0,2020-01-01,71.20333333333333
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
5.6,8.12,990.0,6.0,0.4,290.0,72.0,598.0,2020-01-01,121.19733333333333
5.6,8.18,990.0,6.0,0.4,265.0,62.0,622.0,2020-01-01,121.11028571428572
5.0,8.32,562.0,10.0,0.4,235.0,22.0,366.0,2020-01-01,96.47561904761905
6.5,7.17,420.0,7.0,0.4,135.8,8.0,236.0,2020-01-01,79.13847619047618
6.8,7.08,450.0,9.0,0.4,139.05,9.0,256.0,2020-01-01,85.16538095238096
6.0,7.14,836.0,11.0,0.4,251.63,22.0,470.0,2020-01-01,113.73433333333334
6.4,7.27,1274.0,15.0,0.4,336.01,27.0,718.0,2020-01-01,151.03861904761905
6.1,7.18,1230.0,17.0,0.4,309.55,24.0,698.0,2020-01-01,149.78852380952384
1.9,7.12,1581.0,21.0,0.4,467.43,38.0,892.0,2020-01-01,171.16890476190477
6.9,7.39,893.0,13.0,0.4,243.4,20.0,498.0,2020-01-01,122.74685714285714
5.0,7.96,564.0,14.0,0.4,220.0,26.0,350.0,2020-01-01,101.30857142857144
5.2,7.98,469.0,6.0,0.4,195.0,29.0,290.0,2020-01-01,82.37666666666665
4.9,7.84,528.0,9.0,0.4,210.0,34.0,324.0,2020-01-01,90.45533333333334
5.4,7.75,726.0,6.0,0.4,245.0,29.0,446.0,2020-01-01,100.30323809523809
6.1,8.09,820.0,8.0,0.4,260.0,32.0,496.0,2020-01-01,112.20419047619048
5.6,7.73,938.0,12.0,0.4,295.0,88.0,610.0,2020-01-01,129.99380952380952
6.2,7.01,680.0,7.0,0.4,211.94,18.0,374.0,2020-01-01,96.36571428571429
6.9,7.06,351.0,14.0,0.4,112.59,10.0,202.0,2020-01-01,86.69328571428574
7.1,7.2,635.0,16.0,0.4,192.23,14.0,372.0,2020-01-01,111.16128571428573
6.5,7.48,579.0,18.0,0.4,164.02,11.0,332.0,2020-01-01,108.22428571428573
5.8,8.09,335.0,14.0,0.4,115.0,20.0,218.0,2020-01-01,86.01019047619049
5.0,7.22,420.0,6.0,0.4,130.0,30.0,262.0,2020-01-01,75.5217142857143
4.8,7.68,642.0,16.0,0.4,190.0,46.0,398.0,2020-01-01,108.4059047619048
4.6,7.9,1700.0,48.0,0.4,404.0,36.0,1110.0,2020-01-01,235.46095238095242
4.6,7.93,1334.0,22.0,0.4,308.0,20.0,836.0,2020-01-01,164.55609523809525
4.6,8.02,1335.0,27.0,0.4,312.0,33.0,771.0,2020-01-01,170.3941904761905
4.6,7.88,1476.0,11.0,0.4,348.0,35.0,850.0,2020-01-01,154.36619047619047
4.6,7.89,1417.0,30.0,0.4,300.0,28.0,798.0,2020-01-01,178.36923809523813
4.6,7.98,1387.0,28.0,0.4,304.0,34.0,832.0,2020-01-01,176.37599999999998
2.7,7.88,1471.0,29.0,0.4,328.0,49.0,942.0,2020-01-01,182.06552380952382
6.2,7.36,1642.0,11.0,0.4,426.0,37.0,980.0,2020-01-01,172.5557142857143
6.3,7.39,1630.0,17.0,0.4,404.0,34.0,950.0,2020-01-01,179.76285714285714
7.1,7.25,890.0,13.0,0.4,201.95,11.0,498.0,2020-01-01,121.16185714285714
5.6,7.96,446.0,8.0,0.4,160.0,20.0,280.0,2020-01-01,83.8152380952381
6.2,7.19,2234.0,19.0,0.4,435.36,35.0,1294.0,2020-01-01,220.10590476190478
4.6,7.13,1745.0,26.0,0.4,475.0,134.0,1088.0,2020-01-01,206.76161904761904
4.6,7.28,9010.0,230.0,0.4,2937.93,120.0,5354.0,2020-01-01,1061.7296666666668
7.2,7.15,3560.0,24.0,0.4,782.58,62.0,2048.0,2020-01-01,324.192380952381
6.3,7.46,3250.0,15.0,0.4,1451.44,104.0,2400.0,2020-01-01,338.68752380952384
5.2,7.38,1595.0,18.0,0.4,402.68,26.0,920.0,2020-01-01,175.17980952380952
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
5.1,7.26,1560.0,21.0,0.4,480.05,20.0,896.0,2020-01-01,179.46823809523812
4.9,7.18,1328.0,19.0,0.4,293.07,15.0,760.0,2020-01-01,154.83185714285716
4.7,7.22,5500.0,24.0,0.4,611.12,70.0,3150.0,2020-01-01,429.466380952381
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.8,8.25,444.0,8.0,0.4,172.0,7.0,257.0,2020-01-01,80.58361904761905
4.6,7.71,568.0,10.0,0.4,180.0,36.0,360.0,2020-01-01,93.16238095238096
4.6,7.07,1643.0,22.0,0.4,360.0,88.0,1010.0,2020-01-01,186.98999999999998
